2*1=2	4*1=4	6*1=6	8*1=8	
2*2=4	4*2=8	6*2=12	8*2=16	
2*3=6	4*3=12	6*3=18	8*3=24	
2*4=8	4*4=16	6*4=24	8*4=32	
2*5=10	4*5=20	6*5=30	8*5=40	
2*6=12	4*6=24	6*6=36	8*6=48	
2*7=14	4*7=28	6*7=42	8*7=56	
2*8=16	4*8=32	6*8=48	8*8=64	
2*9=18	4*9=36	6*9=54	8*9=72	

3*1=3	5*1=5	7*1=7	9*1=9	
3*2=6	5*2=10	7*2=14	9*2=18	
3*3=9	5*3=15	7*3=21	9*3=27	
3*4=12	5*4=20	7*4=28	9*4=36	
3*5=15	5*5=25	7*5=35	9*5=45	
3*6=18	5*6=30	7*6=42	9*6=54	
3*7=21	5*7=35	7*7=49	9*7=63	
3*8=24	5*8=40	7*8=56	9*8=72	
3*9=27	5*9=45	7*9=63	9*9=81	
